{timestamp: 2025-03-31 12:06:05, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 12:07:19, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 12:07:40, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 12:09:16, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 12:09:17, level:[info], function: Database, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 12:10:55, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 12:10:56, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 12:12:49, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 12:12:50, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 12:15:26, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 12:15:26, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 12:16:23, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 12:16:23, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 12:17:38, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 12:17:40, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 12:19:01, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 12:19:01, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 12:20:30, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 12:20:31, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 13:44:17, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 13:44:18, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 13:44:32, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 13:44:32, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 13:46:02, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 13:46:03, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 13:46:33, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 13:46:33, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 13:52:00, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 13:52:01, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 13:59:44, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 13:59:45, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 13:59:51, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 13:59:52, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 14:00:11, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 14:00:11, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 14:00:35, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 14:00:35, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 14:00:53, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 14:00:54, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 14:02:33, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 14:02:34, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 14:04:57, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 14:04:58, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 14:06:28, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 14:06:29, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 14:06:52, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 14:06:52, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 14:07:26, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 14:07:26, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 14:09:02, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 14:09:03, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 14:09:21, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 14:09:22, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 14:09:57, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 14:09:58, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 14:10:47, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 14:10:47, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 14:11:01, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 14:11:12, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 14:11:12, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 14:11:36, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 14:11:37, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 14:12:01, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 14:12:02, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 14:13:13, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 14:13:14, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 14:13:57, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 14:13:58, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 14:14:08, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 14:14:09, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 14:14:40, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 14:14:41, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 14:15:52, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 14:15:53, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 14:16:47, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 14:16:48, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 14:17:07, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 14:17:08, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 14:17:18, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 14:17:19, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 14:17:42, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 14:17:43, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 14:17:59, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 14:17:59, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 14:18:24, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 14:18:25, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 14:18:35, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 14:18:36, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 14:19:29, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 14:19:29, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 14:19:59, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 14:20:00, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 14:20:17, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 14:20:17, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 14:27:19, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 14:27:20, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 14:30:05, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 14:30:06, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 14:30:16, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 14:30:16, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 14:30:37, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 14:30:38, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 14:31:11, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 14:31:11, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 14:31:37, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 14:31:37, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 14:32:35, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 14:32:37, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 14:33:48, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 14:33:49, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 14:34:29, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 14:34:29, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 14:35:03, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 14:35:04, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 14:35:16, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 14:35:16, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 14:35:29, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 14:35:30, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 14:35:57, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 14:35:58, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 14:36:38, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 14:36:39, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 14:37:17, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 14:37:17, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 14:37:58, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 14:38:07, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 14:38:08, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 14:38:27, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 14:38:28, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 14:42:40, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 14:42:40, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 14:42:57, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 14:42:58, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 14:43:44, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 14:43:45, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 15:05:30, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 15:05:33, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-03-31 15:08:11, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-03-31 15:08:16, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-04-01 12:50:23, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-04-01 12:50:24, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-04-01 12:50:53, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-04-01 12:50:54, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-04-01 12:51:10, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-04-01 12:51:10, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-04-01 12:51:51, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-04-01 12:51:52, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-04-01 12:52:23, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-04-01 12:52:23, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-04-01 12:53:15, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-04-01 12:53:16, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-04-01 12:53:29, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-04-01 12:53:30, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-04-01 12:53:41, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-04-01 12:53:42, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-04-01 12:54:01, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-04-01 12:54:01, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-04-01 14:39:26, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-04-01 14:39:27, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-04-01 14:41:27, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-04-01 14:41:28, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-04-01 14:56:42, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-04-01 14:56:42, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-04-01 14:57:43, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-04-01 14:57:43, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-04-01 15:01:15, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-04-01 15:01:16, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-04-01 15:01:37, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-04-01 15:01:38, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
{timestamp: 2025-04-01 15:03:16, level:[info], function: Server, statusCode: 200,message: Server running on port 8080, data: {}}
{timestamp: 2025-04-01 15:03:17, level:[info], function: databaseConnect, statusCode: 200,message: Connected to database, data: {}}
